Área,População,Densidade Demográfica,Taxa Geométrica de Crescimento Anual da População - 2010/2020,Grau de Urbanização,Índice de Envelhecimento,População com Menos de 15 Anos,População com 60 Anos e Mais,Razão de Sexos,municipio
"96,17",89.744,"933,18","1,84","96,31","55,76","21,53","12,01","97,25",Arujá
"65,70",264.39,"4024,20","0,95","100,00","47,09","23,62","11,12","94,74",Barueri
"97,64",100.612,"1030,44","1,54","98,26","60,86","19,69","11,99","96,01",Caieiras
"131,39",77.627,"590,81","1,95","98,82","44,85","22,09","9,91","99,14",Cajamar
"34,55",394.598,"11421,07","0,66","100,00","58,79","21,98","12,92","94,44",Carapicuíba
"323,99",247.424,"763,68","2,12","100,00","52,81","21,70","11,46","95,79",Cotia
"30,73",404.477,"13162,28","0,47","100,00","56,47","20,92","11,81","93,69",Diadema
"70,40",270.79,"3846,45","1,22","100,00","47,99","22,81","10,95","94,56",Embu das Artes
"155,64",68.053,"437,25","0,82","97,33","65,40","20,39","13,33","97,85",Embu-Guaçu
"29,56",193.037,"6530,35","1,39","95,51","50,76","21,48","10,90","95,47",Ferraz de Vasconcelos
"49,00",174.403,"3559,24","1,23","99,80","46,83","22,90","10,72","98,05",Francisco Morato
"132,78",152.201,"1146,26","1,48","92,13","53,96","20,81","11,23","103,63",Franco da Rocha
"270,82",29.429,"108,67","1,32","86,05","70,18","20,16","14,15","99,72",Guararema
"318,68",1.351.275,"4240,23","1,02","100,00","57,41","20,97","12,04","95,01",Guarulhos
"150,74",169.619,"1125,24","1,08","99,17","48,05","22,36","10,74","99,46",Itapecerica da Serra
"82,66",237.714,"2875,80","1,72","100,00","42,10","23,08","9,72","96,78",Itapevi
"82,62",370.589,"4485,46","1,44","100,00","45,33","22,35","10,13","96,77",Itaquaquecetuba
"17,45",123.603,"7083,27","1,34","100,00","52,93","20,51","10,85","95,76",Jandira
"522,17",30.401,"58,22","0,57","85,81","62,15","21,87","13,59","100,72",Juquitiba
"320,70",98.622,"307,52","2,02","92,18","72,45","18,48","13,39","100,69",Mairiporã
"61,91",460.132,"7432,27","1,00","100,00","66,02","19,03","12,56","95,49",Mauá
"712,54",432.905,"607,55","1,12","92,75","70,73","19,84","14,03","94,79",Mogi das Cruzes
"64,95",680.964,"10484,43","0,21","100,00","68,76","19,89","13,68","92,80",Osasco
"108,49",18.851,"173,76","1,84","100,00","46,16","21,29","9,83","97,10",Pirapora do Bom Jesus
"17,26",115.538,"6693,97","0,87","98,42","61,87","21,35","13,21","94,37",Poá
"99,08",118.968,"1200,73","0,52","100,00","92,74","17,61","16,33","95,64",Ribeirão Pires
"36,34",49.816,"1370,83","1,27","100,00","59,08","19,80","11,70","97,42",Rio Grande da Serra
"425,00",16.838,"39,62","0,75","66,36","68,32","21,84","14,92","99,81",Salesópolis
"363,33",55.086,"151,61","0,89","81,17","73,29","20,10","14,73","98,71",Santa Isabel
"179,95",138.132,"767,61","2,45","100,00","59,26","20,28","12,02","97,12",Santana de Parnaíba
"175,78",693.867,"3947,36","0,26","100,00","102,66","17,31","17,77","92,45",Santo André
"409,53",812.086,"1982,97","0,60","98,39","81,93","18,38","15,06","93,57",São Bernardo do Campo
"15,33",151.244,"9865,88","0,14","100,00","157,50","14,66","23,10","86,82",São Caetano do Sul
"186,46",15.579,"83,55","1,11","93,07","69,85","19,61","13,70","100,79",São Lourenço da Serra
"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",São Paulo
"206,24",291.002,"1410,99","1,05","96,48","61,53","20,75","12,77","95,86",Suzano
"20,39",283.871,"13922,07","1,52","100,00","52,19","22,08","11,52","92,35",Taboão da Serra
"42,49",52.762,"1241,75","2,09","100,00","54,21","22,15","12,01","97,95",Vargem Grande Paulista
